degree,constraint_order,regularization,feasible,eval_point,estimate,truth,abs_error,log10_abs_error,strain_energy,elapsed_ms,schur_condition_number,log10_schur_condition_number,constraint_count,status
24,8,1e-14,1,1.5,1.3378335811642583,1.329340388179137,0.0084931929851213,-2.070929007621221,1.7343223586072662,2.7035839999998146,1.2809334859365162e+16,16.10752657904936,10.0,ok
28,1,1e-14,1,1.5,1.339285705328062,1.329340388179137,0.009945317148924993,-2.0023813629837997,1.714292580989162,2.2364999999999746,787829408294.348,11.89643218822938,3.0,ok
28,2,1e-14,1,1.5,1.3390777648930157,1.329340388179137,0.009737376713878643,-2.0115580279402936,1.7170910930472096,2.6322500000000026,68625407885897.26,13.836484938763329,4.0,ok
28,3,1e-14,1,1.5,1.3390121127246661,1.329340388179137,0.009671724545529115,-2.0144960808466474,1.7180583240932175,2.816624999999906,108656994533435.03,14.036057688222124,5.0,ok
28,4,1e-14,1,1.5,1.3388170461382023,1.329340388179137,0.009476657959065271,-2.0233447940793408,1.7206922815130843,2.5575420000001348,174602616738025.0,14.242050748111641,6.0,ok
28,5,1e-14,1,1.5,1.3386915777929427,1.329340388179137,0.009351189613805655,-2.029133136737366,1.7223596403159114,2.3569169999999584,422778666213718.5,14.626113064303743,7.0,ok
28,6,1e-14,1,1.5,1.3385252804174033,1.329340388179137,0.00918489223826624,-2.036925934687609,1.7245476346656643,2.7542920000001025,798158299460183.5,14.902089033912272,8.0,ok
28,7,1e-14,1,1.5,1.3383871851023184,1.329340388179137,0.009046796923181333,-2.0435051583438106,1.726716536844742,2.987542000000065,3089129711638087.0,15.489836144580485,9.0,ok
28,8,1e-14,1,1.5,1.3382420475410437,1.329340388179137,0.008901659361906678,-2.0505290287992572,1.728624043404491,3.4052089999998536,1.0228808195267644e+16,16.009825035044397,10.0,ok
4,1,1e-12,1,1.5,1.3392857183336284,1.329340388179137,0.009945330154491394,-2.0023807950539947,1.71428536065245,0.5141250000000319,423328276540.16907,11.626677278479246,3.0,ok
4,2,1e-12,1,1.5,1.306913382028992,1.329340388179137,0.022427006150145035,-1.6492286978504906,2.100558226336581,0.2630830000001083,548240323773.9013,11.7389709752904,4.0,ok
4,3,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
4,4,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
4,5,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
4,6,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
4,7,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
4,8,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
6,1,1e-12,1,1.5,1.3392857096673048,1.329340388179137,0.009945321488167735,-2.002381173496754,1.714285818396238,0.4517910000001457,182435229504.05197,11.261108707357797,3.0,ok
6,2,1e-12,1,1.5,1.3323114936738454,1.329340388179137,0.0029711054947083593,-2.5270819274772807,1.8155198713202814,0.43637500000004437,574458829081.3328,11.759258908666586,4.0,ok
6,3,1e-12,1,1.5,1.3298840436773616,1.329340388179137,0.000543655498224549,-3.264676215400915,1.8497387481406828,0.40941700000018955,1287561230749.8506,12.10976789134,5.0,ok
6,4,1e-12,1,1.5,1.3081044437195095,1.329340388179137,0.02123594445962751,-1.6729284191807976,1.9956640502686889,0.42187500000023803,3655765223042.519,12.562978297124403,6.0,ok
6,5,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
6,6,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
6,7,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
6,8,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
8,1,1e-12,1,1.5,1.3392857132376996,1.329340388179137,0.009945325058562604,-2.002381017583995,1.714286177707075,0.5326249999999533,101003735791.14433,11.004337437183384,3.0,ok
8,2,1e-12,1,1.5,1.335657910784382,1.329340388179137,0.006317522605244985,-2.1994531954206167,1.761418322394428,0.5790829999998692,618214363777.7677,11.791139091372635,4.0,ok
8,3,1e-12,1,1.5,1.3353709698707839,1.329340388179137,0.00603058169164683,-2.219640795108895,1.7767298011985881,0.5476250000002736,1196300952769.1677,12.077840448619995,5.0,ok
8,4,1e-12,1,1.5,1.3312726451529158,1.329340388179137,0.0019322569737787454,-2.713935116599255,1.8285047970047008,0.6915830000000511,2317397798551.9014,12.365000590064138,6.0,ok
8,5,1e-12,1,1.5,1.3280876274252738,1.329340388179137,0.001252760753863269,-2.902131860528466,1.8735298787762207,0.6124590000000651,12484710304287.758,13.096378469417928,7.0,ok
8,6,1e-12,1,1.5,1.3140825590308227,1.329340388179137,0.015257829148314306,-1.816507252486902,1.9202733891014008,0.6756249999999575,154767015740964.78,14.189678408491227,8.0,ok
8,7,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
8,8,1e-12,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
10,1,1e-12,1,1.5,1.3392857124625868,1.329340388179137,0.009945324283449741,-2.002381051431783,1.7142873843359694,0.6396249999998105,63963640857.854416,10.80593317614163,3.0,ok
10,2,1e-12,1,1.5,1.3373272957936437,1.329340388179137,0.00798690761450671,-2.097621339073475,1.7416057772422433,0.6232919999997755,642568517646.8265,11.80791944367551,4.0,ok
10,3,1e-12,1,1.5,1.3366431875620828,1.329340388179137,0.007302799382945757,-2.136510629808552,1.750476563651617,0.6441669999999178,1154895046564.667,12.062542518627403,5.0,ok
10,4,1e-12,1,1.5,1.334299775787167,1.329340388179137,0.0049593876080300525,-2.3045719474761515,1.7782736598932758,0.47099999999966613,1982784907258.134,12.297275604443595,6.0,ok
10,5,1e-12,1,1.5,1.3339116122290706,1.329340388179137,0.004571224049933598,-2.33996749206328,1.7985107384337582,0.7833330000002192,8543425058246.139,12.931632014212491,7.0,ok
10,6,1e-12,1,1.5,1.3315166694861973,1.329340388179137,0.0021762813070602682,-2.662284968253373,1.826535108446626,0.7777080000002101,42357174780396.68,13.62692698500007,8.0,ok
10,7,1e-12,1,1.5,1.327739899001137,1.329340388179137,0.0016004891779999308,-2.795747258071428,1.8772746320351903,0.863750000000163,294911539896239.25,14.469691766838684,9.0,ok
10,8,1e-12,1,1.5,1.3256820705566883,1.329340388179137,0.0036583176224487257,-2.4367185909075926,1.8781511642673425,1.2362499999998278,4.718756814718637e+16,16.673827596171687,10.0,ok
12,1,1e-12,1,1.5,1.3392857080509777,1.329340388179137,0.009945319871840663,-2.002381244078885,1.7142905064048801,0.7955410000000107,44076266481.76999,10.644204800112412,3.0,ok
12,2,1e-12,1,1.5,1.3379386280062886,1.329340388179137,0.008598239827151577,-2.0655904454534917,1.7321338207956913,0.8362500000003159,657019857945.9393,11.817578495992066,4.0,ok
12,3,1e-12,1,1.5,1.3376609637379622,1.329340388179137,0.00832057555882515,-2.0798466312361668,1.7379742318174,0.8580830000002315,1132762658496.7004,12.054138924070864,5.0,ok
12,4,1e-12,1,1.5,1.336335366289382,1.329340388179137,0.006994978110244965,-2.1552136402307234,1.7555422663164342,0.8730839999997464,1867840522691.924,12.271339793161989,6.0,ok
12,5,1e-12,1,1.5,1.3354578074065537,1.329340388179137,0.006117419227416709,-2.213431756233435,1.7674610275613478,6.014707999999924,6910167969822.504,12.839488604173104,7.0,ok
12,6,1e-12,1,1.5,1.3338999633086235,1.329340388179137,0.0045595751294864595,-2.341075623896138,1.7838337041919747,1.012000000000235,23334732372607.723,13.36800282430126,8.0,ok
12,7,1e-12,1,1.5,1.3334225499686139,1.329340388179137,0.004082161789476846,-2.3891097867623774,1.8057253779831328,1.2681249999997313,127970140561899.64,14.107108646976169,9.0,ok
12,8,1e-12,1,1.5,1.3319952124310461,1.329340388179137,0.0026548242519091048,-2.5759642237171305,1.8216805046717048,1.12683399999991,2096802367343835.0,15.321557498268469,10.0,ok
14,1,1e-12,1,1.5,1.339285699024157,1.329340388179137,0.009945310845020039,-2.0023816382643127,1.7142974530807875,1.059832999999788,32188903774.156723,10.507706186597346,3.0,ok
14,2,1e-12,1,1.5,1.3383730751655358,1.329340388179137,0.009032686986398808,-2.04418303930097,1.7268711616511847,0.9055419999999259,666189377991.0127,11.823597703832993,4.0,ok
14,3,1e-12,1,1.5,1.3380520249782768,1.329340388179137,0.008711636799139777,-2.0599002392460255,1.731025582890191,0.9982090000000277,1119273021045.639,12.048936035653446,5.0,ok
14,4,1e-12,1,1.5,1.3371023662235615,1.329340388179137,0.007761978044424467,-2.110027590042124,1.7431950973237516,1.2511249999995755,1817895019770.9954,12.259568799870229,6.0,ok
14,5,1e-12,1,1.5,1.3367420243849344,1.329340388179137,0.007401636205797368,-2.1306722645121074,1.7511800846009775,1.3811669999999054,6023051579569.729,12.779816582351486,7.0,ok
14,6,1e-12,1,1.5,1.3358862391698993,1.329340388179137,0.006545850990762325,-2.184033885160957,1.7620452025337343,1.5306250000000077,16706768779966.22,13.222892462058176,8.0,ok
14,7,1e-12,1,1.5,1.33494938801126,1.329340388179137,0.0056089998321229295,-2.251114572988894,1.7748282208337367,1.416791999999667,81644976556819.25,13.911929468671358,9.0,ok
14,8,1e-12,1,1.5,1.3338183377581148,1.329340388179137,0.004477949578977736,-2.348920800818405,1.7853429155418445,1.3932089999997288,675764910712026.1,14.829795637158053,10.0,ok
16,1,1e-12,1,1.5,1.3392856809368607,1.329340388179137,0.009945292757723712,-2.0023824281059026,1.7143112961297946,0.9428750000002317,24526525452.167915,10.38963602827854,3.0,ok
16,2,1e-12,1,1.5,1.338586079934229,1.329340388179137,0.009245691755092045,-2.034060589731392,1.723651129117732,1.1368329999998927,672330433958.8607,11.827582770634825,4.0,ok
16,3,1e-12,1,1.5,1.338405214602069,1.329340388179137,0.009064826422932049,-2.0426405075402903,1.7267648223306638,1.1626659999999234,1110204746693.2126,12.045403079830884,5.0,ok
16,4,1e-12,1,1.5,1.3377373081458053,1.329340388179137,0.008396919966668248,-2.075879986173469,1.7357147076544386,1.6187500000000021,1791819949331.9207,12.253294367524665,6.0,ok
16,5,1e-12,1,1.5,1.337305072188153,1.329340388179137,0.007964684009015954,-2.0988314497263727,1.7414864286133613,1.405875000000112,5469381233360.757,12.737938196143785,7.0,ok
16,6,1e-12,1,1.5,1.336661621924773,1.329340388179137,0.007321233745635869,-2.1354157271693426,1.7492793531825637,1.001041999999952,13469124813819.787,13.129339377395073,8.0,ok
16,7,1e-12,1,1.5,1.336277867095458,1.329340388179137,0.006937478916321016,-2.158798323730796,1.757855151265591,1.3618339999998952,61391133944331.8,13.788105655227795,9.0,ok
16,8,1e-12,1,1.5,1.3356834215672124,1.329340388179137,0.006343033388075403,-2.1977030025835003,1.765150508658644,1.4296670000000233,360572892824741.1,14.556993074191318,10.0,ok
18,1,1e-12,1,1.5,1.3392856478991852,1.329340388179137,0.009945259720048227,-2.0023838708089317,1.7143366806029807,1.261042000000323,19302709521.32992,10.285618275203085,3.0,ok
18,2,1e-12,1,1.5,1.3387591920722208,1.329340388179137,0.009418803893083805,-2.0260042453616567,1.7215488127279495,1.6766249999999872,676623495560.0332,11.830347074467191,4.0,ok
18,3,1e-12,1,1.5,1.3385729638485822,1.329340388179137,0.009232575669445131,-2.0346771242198702,1.7239726219062859,1.3679589999999742,1103657036492.8103,12.042834136528075,5.0,ok
18,4,1e-12,1,1.5,1.338050126913682,1.329340388179137,0.008709738734544947,-2.0599948722997126,1.7308404844415197,1.301291999999954,1776271200595.4192,12.249509274466368,6.0,ok
18,5,1e-12,1,1.5,1.3378052912126226,1.329340388179137,0.008464903033485571,-2.072378012423722,1.735228277486343,1.5222499999998362,5092923366549.12,12.706967141376406,7.0,ok
18,6,1e-12,1,1.5,1.3373542759790369,1.329340388179137,0.008013887799899866,-2.0961567422908245,1.7411142385261715,1.5273750000002195,11577992154348.969,13.063633250937807,8.0,ok
18,7,1e-12,1,1.5,1.3368927896613911,1.329340388179137,0.007552401482254112,-2.1219149311976766,1.747342969347256,1.5615420000001379,50323952224270.92,13.701774741375804,9.0,ok
18,8,1e-12,1,1.5,1.3364219609429042,1.329340388179137,0.007081572763767197,-2.1498702780771075,1.7527234904384743,1.846291000000111,241990354004849.25,14.38379805488143,10.0,ok
20,1,1e-12,1,1.5,1.3392855911327721,1.329340388179137,0.009945202953635102,-2.002386349719592,1.7143802812784246,1.1774169999996253,15583680160.95271,10.19267002617733,3.0,ok
20,2,1e-12,1,1.5,1.3388575655220805,1.329340388179137,0.00951717734294344,-2.0214918379761158,1.7201177790310398,1.6249159999999208,679729970680.1014,11.83233641927349,4.0,ok
20,3,1e-12,1,1.5,1.3387348608129155,1.329340388179137,0.009394472633778461,-2.027127594346669,1.7220597603640047,1.325374999999962,1098675168061.5742,12.040869308828425,5.0,ok
20,4,1e-12,1,1.5,1.3383305651711763,1.329340388179137,0.0089901769920393,-2.046231758110002,1.7275007308483428,1.710666999999777,1766061869818.4495,12.247005913992448,6.0,ok
20,5,1e-12,1,1.5,1.338070309785268,1.329340388179137,0.008729921606130953,-2.058989656200227,1.7309592346012594,6.278833000000095,4821492504683.624,12.683181495959618,7.0,ok
20,6,1e-12,1,1.5,1.3377073196278462,1.329340388179137,0.008366931448709147,-2.077433789227423,1.7355727353610377,1.1909580000000197,10346800415891.227,13.014806071865337,8.0,ok
20,7,1e-12,1,1.5,1.3374458503219038,1.329340388179137,0.00810546214276675,-2.0912222182822653,1.7403362430590956,6.577166000000023,43432169306857.76,13.637811521613427,9.0,ok
20,8,1e-12,1,1.5,1.3371203601998056,1.329340388179137,0.007779972020668602,-2.1090219648729183,1.7444852163985884,2.1094169999997803,183548609454893.84,14.263751098682805,10.0,ok
24,1,1e-12,1,1.5,1.339285354248786,1.329340388179137,0.009944966069648897,-2.002396694267991,1.714562181078366,2.7014589999998506,10765663690.938099,10.03204080874633,3.0,ok
24,2,1e-12,1,1.5,1.3389965807529756,1.329340388179137,0.00965619257383854,-2.0151940816719462,1.7184424247966414,1.4620000000000744,683803673952.7872,11.834931429852118,4.0,ok
24,3,1e-12,1,1.5,1.3389087819175074,1.329340388179137,0.009568393738370373,-2.0191609618168647,1.7197712950454964,1.1281670000000688,1091522440927.753,12.03803266892368,5.0,ok
